HOLEID,TCU
17506893,0.183
17506894,0.114
17506895,0.145
17506896,0.128
17506897,0.124
17506898,0.129
17506903,0.128
17506904,0.214
17506905,0.112
17506906,0.121
17506907,0.266
17506908,0.205
17506909,0.281
17506910,0.216
17506914,0.143
17506915,0.211
17506916,0.245
17506927,0.148
17506928,0.26
17506929,0.271
17506937,0.224
17506938,0.232
17506899,0.132
17506900,0.097
17506901,0.172
17506902,0.133
17506913,0.419
17506917,0.211
17506918,0.273
17506919,0.186
17506920,0.152
17506921,0.139
17506922,0.153
17506923,0.148
17506924,0.17
17506925,0.161
17506926,0.133
17506930,0.556
17506935,0.174
17506936,0.214
17506939,0.237
17506940,0.149
17506941,0.164
17506942,0.12
17506943,0.108
17506950,0.155
17506951,0.155
17506952,0.245
17506957,0.224
17506958,0.224
17506959,0.162
17502413,0.031
17502414,0.029
17502415,0.027
17502416,0.024
17502417,0.039
17502418,0.019
17502419,0.066
17502420,0.022
17502421,0.034
17502422,0.052
17502423,0.049
17502424,0.068
17502425,0.093
17502426,0.066
17502434,0.06
17502435,0.077
17502436,0.081
17502437,0.073
17502438,0.054
17502439,0.035
17502440,0.032
17502441,0.059
17502442,0.014
17502443,0.019
17502444,0.021
17502445,0.03
17502446,0.027
17502447,0.026
17502448,0.032
17502449,0.035
17502450,0.03
17502451,0.03
17502452,0.027
17502453,0.03
17502454,0.045
17502455,0.055
17502456,0.073
17502457,0.061
17502458,0.036
17502459,0.064
17502460,0.013
17502467,0.048
17502468,0.057
17502469,0.053
17502470,0.056
17502471,0.075
17502472,0.05
17502473,0.048
17502474,0.039
17502475,0.022
17502476,0.038
17502477,0.033
17502478,0.028
17506944,0.134
17506945,0.139
17506946,0.16
17506947,0.168
17506948,0.155
17506949,0.162
17506953,0.294
17506954,0.23
17506955,0.159
17506956,0.138
17506960,0.161
17506961,0.206
17506962,0.18
17506963,0.143
17506964,0.151
17506965,0.137
17506966,0.161
17506967,0.142
17506968,0.192
17506969,0.176
17506970,0.139
17506971,0.2
17506972,0.176
17506973,0.163
17506974,0.166
17506975,0.144
17506976,0.217
17506977,0.203
17506978,0.166
17506979,0.129
17506980,0.146
17506981,0.166
17506982,0.203
17506983,0.218
17506984,0.156
17506985,0.221
17506986,0.134
17506987,0.15
17506988,0.139
17506989,0.179
17506990,0.166
17506991,0.131
17506992,0.162
17506993,0.173
17506994,0.216
17506995,0.145
17506996,0.143
17506997,0.106
17506998,0.116
17502374,0.031
17502375,0.026
17502376,0.028
17502377,0.023
17502378,0.024
17502379,0.019
17502380,0.017
17502381,0.027
17502382,0.014
17502385,0.04
17502386,0.036
17502387,0.064
17502388,0.061
17502389,0.049
17502390,0.035
17502391,0.029
17502392,0.03
17502393,0.032
17502394,0.084
17502395,0.029
17502396,0.026
17502397,0.092
17502398,0.048
17502399,0.047
17502400,0.036
17502401,0.045
17502402,0.037
17502403,0.018
17502404,0.016
17502405,0.017
17502406,0.029
17502407,0.028
17502408,0.029
17502409,0.024
17502410,0.029
17502411,0.023
17502412,0.028
17502428,0.059
17502429,0.039
17502430,0.042
17502431,0.041
17502432,0.036
17502433,0.054
17502461,0.056
17502462,0.078
17502463,0.062
17502464,0.043
17502465,0.042
17502466,0.05
17507024,0.13
17507025,0.155
17507026,0.123
17507027,0.153
17507028,0.21
17507029,0.198
17507030,0.214
17507031,0.162
17507032,0.128
17507033,0.156
17507034,0.117
17507035,0.139
17507036,0.16
17507037,0.128
17507038,0.133
17507039,0.138
17507040,0.118
17507041,0.153
17507042,0.226
17507044,0.14
17507045,0.162
17507046,0.194
17507047,0.189
17507049,0.204
17507050,0.131
17507051,0.151
17507052,0.165
17507053,0.161
17507054,0.153
17507055,0.153
17507056,0.143
17507057,0.116
17507058,0.136
17507059,0.153
17507060,0.155
17507061,0.123
17507062,0.174
17507063,0.215
17507064,0.22
17507066,0.185
17507067,0.224
17507068,0.161
17507069,0.247
17507071,0.171
17507072,0.133
17507073,0.177
17507074,0.21
17507075,0.234
17507076,0.191
17507077,0.133
17507078,0.146
17507043,0.159
17507048,0.191
17507065,0.285
17507070,0.23
17507079,0.182
17507080,0.212
17507081,0.148
17507082,0.166
17507083,0.169
17507084,0.181
17507085,0.146
17507086,0.153
17507087,0.161
17507088,0.355
17507089,0.175
17507090,0.179
17507091,0.309
17507092,0.146
17507093,0.159
17507094,0.101
17507095,0.162
17507096,0.173
17507097,0.121
17507098,0.156
17507099,0.133
17507100,0.177
17507126,0.202
17507127,0.279
17507128,0.251
17507129,0.161
17507130,0.137
17507131,0.142
17507132,0.147
17507133,0.251
17507134,0.183
17507135,0.177
17507136,0.153
17507137,0.154
17507138,0.191
17507139,0.157
17507140,0.17
17507141,0.117
17507142,0.204
17507143,0.163
17507144,0.22
17507145,0.149
17507146,0.155
17507147,0.2
17507148,0.161
17507149,0.211
17507150,0.195
17507151,0.147
17507152,0.132
17507153,0.206
17507154,0.187
17507155,0.197
17507156,0.215
17507157,0.171
17507158,0.185
17507159,0.17
17507160,0.171
17507161,0.122
17507190,0.108
17507191,0.173
17507192,0.152
17507193,0.145
17507199,0.309
17507200,0.21
17507208,0.124
17507209,0.159
17507210,0.123
17507211,0.139
17507212,0.173
17507222,0.16
17507223,0.234
17507187,0.109
17507188,0.101
17507189,0.133
17507194,0.113
17507195,0.104
17507196,0.115
17507197,0.117
17507198,0.226
17507201,0.159
17507202,0.136
17507203,0.172
17507204,0.11
17507205,0.139
17507206,0.191
17507207,0.115
17507213,0.13
17507214,0.141
17507215,0.187
17507216,0.112
17507217,0.096
17507218,0.225
17507219,0.144
17507220,0.159
17507221,0.201
17507376,0.175
17507377,0.15
17507378,0.221
17507379,0.192
17507380,0.269
17507381,0.162
17507382,0.169
17507383,0.246
17507390,0.2
17507391,0.187
17507392,0.2
17507393,0.232
17507394,0.2
17507399,0.283
17507249,0.087
17507250,0.129
17507253,0.107
17507254,0.222
17507255,0.211
17507256,0.159
17507259,0.167
17507260,0.136
17507266,0.1
17507270,0.136
17507271,0.157
17507286,0.124
17507287,0.174
17507251,0.118
17507252,0.101
17507257,0.141
17507258,0.107
17507261,0.139
17507262,0.093
17507263,0.073
17507264,0.071
17507265,0.096
17507267,0.102
17507268,0.129
17507269,0.132
17507272,0.115
17507273,0.1
17507274,0.11
17507275,0.089
17507276,0.074
17507277,0.102
17507278,0.112
17507279,0.082
17507280,0.114
17507302,0.161
17507303,0.166
17507318,0.142
17507319,0.115
17507384,0.161
17507385,0.222
17507386,0.167
17507387,0.169
17507388,0.169
17507389,0.163
17507395,0.194
17507396,0.206
17507397,0.248
17507398,0.217
17507400,0.19
17507401,0.154
17507402,0.246
17507403,0.195
17507404,0.165
17507405,0.184
17507406,0.237
17507407,0.135
17507408,0.184
17507409,0.294
17507410,0.176
17507411,0.315
17507412,0.171
17507413,0.189
17507414,0.166
17507415,0.156
17507416,0.237
17507417,0.132
17507418,0.158
17507419,0.134
17507420,0.108
17507421,0.226
17507422,0.15
17507423,0.144
17507424,0.132
17507425,0.167
17507426,0.24
17507427,0.2
17507428,0.205
17507429,0.165
17507430,0.238
17507431,0.208
17507432,0.243
17507281,0.129
17507282,0.122
17507283,0.155
17507284,0.158
17507285,0.141
17507288,0.158
17507289,0.149
17507290,0.155
17507291,0.147
17507292,0.085
17507298,0.114
17507299,0.16
17507300,0.166
17507301,0.13
17507304,0.103
17507305,0.133
17507306,0.111
17507307,0.13
17507315,0.146
17507316,0.156
17507317,0.172
17507320,0.13
17507321,0.148
17507322,0.178
17507433,0.164
17507434,0.252
17507435,0.307
17507436,0.206
17507437,0.12
17507438,0.14
17507439,0.148
17507440,0.175
17507441,0.312
17507442,0.163
17507443,0.105
17507444,0.17
17507445,0.176
17507446,0.151
17507447,0.167
